DATAFLOW,LAST UPDATE,freq,iccs,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:CRIM_OFF_CAT(1.0),12/08/25 23:00:00,Annual,Corruption,Per hundred thousand inhabitants,Slovenia,2019,10.52,,
ESTAT:CRIM_OFF_CAT(1.0),12/08/25 23:00:00,Annual,Corruption,Per hundred thousand inhabitants,Slovenia,2020,14.89,,
ESTAT:CRIM_OFF_CAT(1.0),12/08/25 23:00:00,Annual,Corruption,Per hundred thousand inhabitants,Slovenia,2021,11.81,,
ESTAT:CRIM_OFF_CAT(1.0),12/08/25 23:00:00,Annual,Corruption,Per hundred thousand inhabitants,Slovenia,2022,29.66,,
ESTAT:CRIM_OFF_CAT(1.0),12/08/25 23:00:00,Annual,Corruption,Per hundred thousand inhabitants,Slovenia,2023,10.01,,
ESTAT:CRIM_OFF_CAT(1.0),12/08/25 23:00:00,Annual,Corruption,Per hundred thousand inhabitants,Slovakia,2016,1.94,,
ESTAT:CRIM_OFF_CAT(1.0),12/08/25 23:00:00,Annual,Corruption,Per hundred thousand inhabitants,Slovakia,2017,3.07,,
ESTAT:CRIM_OFF_CAT(1.0),12/08/25 23:00:00,Annual,Corruption,Per hundred thousand inhabitants,Slovakia,2018,2.77,,
ESTAT:CRIM_OFF_CAT(1.0),12/08/25 23:00:00,Annual,Corruption,Per hundred thousand inhabitants,Slovakia,2019,2.50,,
ESTAT:CRIM_OFF_CAT(1.0),12/08/25 23:00:00,Annual,Corruption,Per hundred thousand inhabitants,Slovakia,2020,2.40,,
ESTAT:CRIM_OFF_CAT(1.0),12/08/25 23:00:00,Annual,Corruption,Per hundred thousand inhabitants,Slovakia,2021,3.41,,
ESTAT:CRIM_OFF_CAT(1.0),12/08/25 23:00:00,Annual,Corruption,Per hundred thousand inhabitants,Slovakia,2022,2.52,,
ESTAT:CRIM_OFF_CAT(1.0),12/08/25 23:00:00,Annual,Corruption,Per hundred thousand inhabitants,Slovakia,2023,1.51,,
ESTAT:CRIM_OFF_CAT(1.0),12/08/25 23:00:00,Annual,Corruption,Per hundred thousand inhabitants,Türkiye,2016,6.30,,
ESTAT:CRIM_OFF_CAT(1.0),12/08/25 23:00:00,Annual,Corruption,Per hundred thousand inhabitants,Kosovo*,2016,14.68,,
ESTAT:CRIM_OFF_CAT(1.0),12/08/25 23:00:00,Annual,Bribery,Per hundred thousand inhabitants,Albania,2016,8.90,,
ESTAT:CRIM_OFF_CAT(1.0),12/08/25 23:00:00,Annual,Bribery,Per hundred thousand inhabitants,Albania,2017,10.32,,
ESTAT:CRIM_OFF_CAT(1.0),12/08/25 23:00:00,Annual,Bribery,Per hundred thousand inhabitants,Albania,2018,9.55,,
ESTAT:CRIM_OFF_CAT(1.0),12/08/25 23:00:00,Annual,Bribery,Per hundred thousand inhabitants,Albania,2019,10.66,,
ESTAT:CRIM_OFF_CAT(1.0),12/08/25 23:00:00,Annual,Bribery,Per hundred thousand inhabitants,Albania,2020,5.66,,
ESTAT:CRIM_OFF_CAT(1.0),12/08/25 23:00:00,Annual,Bribery,Per hundred thousand inhabitants,Albania,2021,9.29,,
ESTAT:CRIM_OFF_CAT(1.0),12/08/25 23:00:00,Annual,Bribery,Per hundred thousand inhabitants,Albania,2022,17.68,,
ESTAT:CRIM_OFF_CAT(1.0),12/08/25 23:00:00,Annual,Bribery,Per hundred thousand inhabitants,Albania,2023,11.30,,
ESTAT:CRIM_OFF_CAT(1.0),12/08/25 23:00:00,Annual,Bribery,Per hundred thousand inhabitants,Austria,2016,0.23,,
ESTAT:CRIM_OFF_CAT(1.0),12/08/25 23:00:00,Annual,Bribery,Per hundred thousand inhabitants,Austria,2017,0.34,,
ESTAT:CRIM_OFF_CAT(1.0),12/08/25 23:00:00,Annual,Bribery,Per hundred thousand inhabitants,Austria,2018,0.27,,
ESTAT:CRIM_OFF_CAT(1.0),12/08/25 23:00:00,Annual,Bribery,Per hundred thousand inhabitants,Austria,2019,0.43,,
ESTAT:CRIM_OFF_CAT(1.0),12/08/25 23:00:00,Annual,Bribery,Per hundred thousand inhabitants,Austria,2020,0.42,,
ESTAT:CRIM_OFF_CAT(1.0),12/08/25 23:00:00,Annual,Bribery,Per hundred thousand inhabitants,Austria,2021,0.64,,
ESTAT:CRIM_OFF_CAT(1.0),12/08/25 23:00:00,Annual,Bribery,Per hundred thousand inhabitants,Austria,2022,1.65,,
ESTAT:CRIM_OFF_CAT(1.0),12/08/25 23:00:00,Annual,Bribery,Per hundred thousand inhabitants,Austria,2023,13.51,,
ESTAT:CRIM_OFF_CAT(1.0),12/08/25 23:00:00,Annual,Bribery,Per hundred thousand inhabitants,Belgium,2016,0.85,,
